Sl_No,Date,Startup_Name,Industry,Sub_Industry,Investors,Investment_Type,Amount_in_USD,Amount,City
949,2017-03-08,Rivigo,Logistics,Technology Enabled Logistics Company,Private Sector Banks (Debt Funding),Private Equity,"1,50,00,000",15000000,Gurgaon
950,2017-03-08,PipeCandy,Technology,Intelligent Sales Prospecting Platform,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,"11,00,000",1100000,Chennai
951,2017-03-08,Supr Daily,Consumer Internet,Subscription based Home Delivery Platform,Y Combinator,Seed Funding,"1,20,000",120000,Mumbai
953,2017-03-09,AppBrowzer,Consumer Internet,Instant Mobile Apps Store,Deepak Gurnani,Seed Funding,"5,00,000",500000,Bengaluru
954,2017-03-09,MagicBricks,Consumer Internet,Online Real Estate Portal,Times Internet Ltd,Private Equity,"45,00,000",4500000,Mumbai
955,2017-03-10,PeeBuddy,Healthcare,Female Hygiene product manufacturer,Indian Angel Network,Seed Funding,"4,43,000",443000,New Delhi
957,2017-03-10,Lavelle Networks,Technology,SDN Solutions,Ideaspring Capital,Seed Funding,"6,00,000",600000,Bengaluru
960,2017-03-15,LatestOne,eCommerce,Tech Accessories e-tailer,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",Private Equity,"33,50,000",3350000,Hyderabad
961,2017-03-15,Frapperz,Consumer Internet,On-demand home services provider,Undisclosed Investor,Seed Funding,"1,00,000",100000,Kolkata
962,2017-03-16,mPaani,Consumer Internet,Loyalty rewards app,"IDG Ventures, Blume Ventures, Saha Fund,",Private Equity,"13,50,000",1350000,Mumbai
964,2017-03-16,POPxo,Consumer Internet,Digital Media publication for women,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private Equity,"31,00,000",3100000,New Delhi
965,2017-03-16,Fitso,Consumer Internet,Fitness Mobile App,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed Funding,"2,00,000",200000,Gurgaon
967,2017-03-21,Flipkart,eCommerce,ECommerce Marketplace,"Microsoft, eBay, Tencent Holdings",Private Equity,"1,40,00,00,000",1400000000,Bengaluru
968,2017-03-21,Airpay,Technology,Online payment Gateway,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",Private Equity,"36,70,000",3670000,Mumbai
969,2017-03-21,MyGlamm,Consumer Internet,On-Demand Beauty Services,L\\xe2\\x80\\x99Occitane,Private Equity,"53,00,000",5300000,Mumbai
971,2017-03-22,Haqdarshak,Consumer Internet,Tech-Enabled Social Enterprise,"Ravi Saxena, Sandeep Raju,",Seed Funding,"1,91,000",191000,Bengaluru
972,2017-03-23,Ixigo,Consumer Internet,Online Travel Search Engine,"Sequoia Capital, Kinzon Capital",Private Equity,"1,50,00,000",15000000,Gurgaon
973,2017-03-23,Markets and Markets,Technology,Marketing Research Company,"FTV Capital, Zodius Capital",Private Equity,"5,60,00,000",56000000,Pune
974,2017-03-24,Bizom,Technology,supply chain automation platform,Ojas Ventures,Seed Funding,"3,82,000",382000,Bengaluru
976,2017-03-24,Delhivery,Technology,Tech enabled Fulfilment & Logistics Solutions,"Carlyle Group, Tiger Global",Private Equity,"10,00,00,000",100000000,New Delhi
978,2017-03-28,Fynd,ECommerce,Online fashion marketplace,Venture Catalysts,Private Equity,"5,00,000",500000,Mumbai
980,2017-03-28,DoneThing,Consumer Internet,On-demand Personal Assistant service,Brand Capital,Private Equity,"3,00,000",300000,Gurgaon
982,2017-03-29,Ithaka,Consumer Internet,Vacation Trip Planning platform,"Ankit Gupta, Puneet Motihar",Seed Funding,"3,25,000",325000,Mumbai
983,2017-03-29,perpule,eCommerce,Self-Checkout ECommerce App,KStart Capital,Seed Funding,"6,50,000",650000,Bengaluru
985,2017-03-29,Licious,ECommerce,Online Meat Ordering platform,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private Equity,"1,00,00,000",10000000,Bengaluru
986,2017-03-29,Medinfi,Consumer Internet,Doctor & Hospital search Platform,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",Seed Funding,"50,000",50000,Bengaluru
990,2017-03-31,Jhakaas,Consumer Internet,Offline Business Aggregator App,"Malini Patel, Stelcore Management Services, Anjani Prasad",Seed Funding,"1,55,000",155000,Mumbai
991,2017-03-31,Oriano Solar,Technology,Turnkey Solar Solutions,Samridhi Fund,Private Equity,"30,00,000",3000000,Mumbai
992,2017-03-31,BigBasket,ECommerce,Online Grocer,Trifecta Capital,Private Equity,"70,00,000",7000000,Bengaluru
995,2017-03-31,Icertis,Technology,ERP solutions provider,"B Capital Group, Ignition Partners, Greycroft, e.ventures,\\xc2\\xa0 Eight Roads Ventures",Private Equity,"2,50,00,000",25000000,Pune
998,2017-02-06,Capital Float,Consumer Internet,Online lending platform,IFMR Capital Finance,Private Equity,"25,00,000",2500000,Bengaluru
1000,2017-02-07,Inner Hour,Consumer Internet,Online Counselling Platform,"Batlivala & Karani Securities, Venture Works",Seed Funding,"4,50,000",450000,Mumbai
1001,2017-02-07,Travel Triangle,Consumer Internet,Online travel agent marketplace,"RB Investments, SAIF Partners, Bessemer Venture Partners",Private Equity,"1,00,00,000",10000000,Noida
1002,2017-02-08,Wandertrails,Consumer Internet,"Online Travel, Adventure & Activities Portal",Earlsfield Capital,Seed Funding,"10,00,000",1000000,Bengaluru
1003,2017-02-08,Zenatix,Technology,IoT Based Energy Monitoring & Control,"pi Ventures, Blume Ventures",Private Equity,"12,00,000",1200000,Gurgaon
1004,2017-02-08,Cartrade,Consumer Internet,Automobile Classifieds Portal,Temasek Holdings,Private Equity,"5,50,00,000",55000000,Mumbai
1006,2017-02-08,Edurev,Consumer Internet,Online Education Portal,Facebook FB Start programme,Seed Funding,"40,000",40000,Gurgaon
1007,2017-02-09,Voonik,ECommerce,Women Apparel & Lifestyle etailer,"RB Investments, Sequoia Capital",Private Equity,"60,00,000",6000000,Bengaluru
1009,2017-02-09,Wooplr,ECommerce,Women Fashion Portal,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private Equity,"80,00,000",8000000,Bengaluru
1010,2017-02-10,48East,ECommerce,Online Food Delivery Platform,Al Dhaheri family,Private Equity,"5,00,000",500000,Bengaluru
1012,2017-02-13,Sigtuple,Technology,Medical Automation platform,"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",Private Equity,"58,00,000",5800000,Bengaluru
1013,2017-02-13,Flutura,Technology,Decision Sciences Analytics Solutions,"Vertex Ventures, Lumis Partners",Private Equity,"75,00,000",7500000,Bengaluru
1014,2017-02-13,Wassup,Consumer Internet,On Demand Laundry & Dry Cleaning Services,Anil Jain & other HNIs,Private Equity,"32,00,000",3200000,Chennai
1015,2017-02-13,Better Mortgage,Consumer Internet,Mortgage Offering Platform,"Kleiner Perkins, Goldman Sachs, Pine Brook",Private Equity,"1,50,00,000",15000000,Gurgaon
1016,2017-02-13,Nurturey,Consumer Internet,Parenting Mobile App,Mohit Joshi & Others,Seed Funding,"3,30,000",330000,New Delhi
1017,2017-02-13,Fyle,Technology,Expense Management Solution,Pravega Ventures,Seed Funding,"4,00,000",400000,Bengaluru
1018,2017-02-14,GoBumpr,Consumer Internet,Online Bike & Car Services provider,"Mahalingam K, Girish Mathrubootham",Seed Funding,"3,00,000",300000,Chennai
1019,2017-02-14,CCAvenue,Consumer Internet,Online Payment Gateway,Infibeam,Private Equity,"2,24,00,000",22400000,Mumbai
1022,2017-02-15,ZestMoney,Consumer Internet,Online Consumer Lending platform,"PayU, Ribbit Capital, Omidyar Network",Private Equity,"65,00,000",6500000,Bengaluru
1023,2017-02-15,AirZaar,Technology,Drone operations management platform,Quake Capital,Seed Funding,"3,50,000",350000,Missourie
1024,2017-02-16,Truebil,Consumer Internet,Online Marketplace for Used Cars,Shunwei Capital,Private Equity,"30,00,000",3000000,Mumbai
1025,2017-02-16,YourStory,Consumer Internet,Online Media,"Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT",Private Equity,"30,00,000",3000000,Bengaluru
1026,2017-02-17,Imaginate,Technology,AR & VR platform,SRI Capital,Seed Funding,"5,00,000",500000,Hyderabad
1027,2017-02-17,The Ken,Consumer Internet,Online Media Platform,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others",Seed Funding,"4,00,000",400000,Bengaluru
1028,2017-02-17,Urban Ladder,ECommerce,Online Furniture Store,"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital",Private Equity,"1,52,00,000",15200000,Bengaluru
1031,2017-02-17,Leopetra,eCommerce,Solution provider for pet needs,Facebook FBStart,Seed Funding,"40,000",40000,Mumbai
1032,2017-02-18,Blood n Care,Consumer Internet,First Aid care app,Facebook FBStart,Seed Funding,"40,000",40000,Gurgaon
1033,2017-02-20,Flipkart,eCommerce,Online Marketplace,"Bennett, Coleman and Co. Ltd (BCCL)",Private Equity,"3,87,00,000",38700000,Bengaluru
1034,2017-02-21,True Balance,Consumer Internet,Mobile balance Checking App,"Softbank Ventures Korea, IMM Investment",Private Equity,"1,50,00,000",15000000,Gurgaon
1035,2017-02-22,Vebbler,Consumer Internet,Photo Sharing for Groups,Facebook FBStart,Seed Funding,"40,000",40000,Bengaluru
1036,2017-02-23,Get My Parking,Consumer Internet,Smart Parking Platform,"Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal",Private Equity,"11,00,000",1100000,New Delhi
1040,2017-02-27,Biryani By Kilo,Consumer Internet,Online Food Ordering & Delivery Portal,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others",Seed Funding,"3,75,000",375000,Gurgaon
1041,2017-02-27,Johari Shop,ECommerce,Online Jewellery etailer,Undisclosed Investors,Seed Funding,"94,000",94000,Bengaluru
1042,2017-02-28,NeoStencil,Consumer Internet,Live Online Coaching Classes,"Brand Capital, Paragon Trust",Private Equity,"10,00,000",1000000,New Delhi
1043,2017-02-28,Blackbuck,Logistics,Online freight aggregator,"Sands Capital, IFC, Accel Partners, Flipkart, Sanjiv Rangrass",Private Equity,"7,00,00,000",70000000,Bengaluru
1044,2017-01-02,TaxSutra,Consumer Internet,Online Tax Filing platform,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,"3,66,000",366000,Pune
1045,2017-01-03,TempoGo,Technology,IoT & SAAS Solutions for Transportation Industry,K2 Capital,Seed Funding,"8,25,000",825000,Panaji
1051,2017-01-06,Leap India,Logistics,Supply Chain Solutions Provider,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,"1,30,00,000",13000000,Mumbai
1052,2017-01-07,FreeCharge,Consumer Internet,Mobile Wallet,Jasper Infotech Pvt Ltd,Private Equity,"5,70,00,000",57000000,Mumbai
1053,2017-01-09,TicketNew,Consumer Internet,Movie Ticket Booking platform,Alibaba Pictures,Private Equity,"3,50,00,000",35000000,Chennai
1054,2017-01-10,Intelligence Node,Technology,SAAS Based Retail Analytics Solutions,BlackSoil Capital Pvt Ltd,Private Equity,"8,00,000",800000,Mumbai
1055,2017-01-10,Securens,Technology,e-surveillance services provider,"Mayfield India, Trifecta Capital",Private Equity,"50,00,000",5000000,Mumbai
1056,2017-01-10,Loan Frame,Consumer Internet,Small Business Loans Marketplace platform,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,"22,50,000",2250000,Gurgaon
1058,2017-01-10,Medinfi,Consumer Internet,Doctor & Clinic Discovery portal,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,"1,00,000",100000,Bengaluru
1059,2017-01-10,LensKart,eCommerce,Online eyewear retailer,Ronnie Screwvala,Private Equity,"35,00,000",3500000,Bengaluru
1061,2017-01-12,Hansel.io,Consumer Internet,Real-time Mobile App Management Platform,"IDG Ventures, Endiya Partners",Private Equity,"13,50,000",1350000,Bengaluru
1062,2017-01-12,Square Yards,Consumer Internet,Property Search Aggregator platform,"Lohia Group, Andre Hoffman",Private Equity,"1,00,00,000",10000000,Gurgaon
1063,2017-01-13,Roambee,Technology,IoT smart Logistics and Asset Management Company,Deutsche Telekom Strategic Investments & Others,Private Equity,"41,00,000",4100000,Mumbai
1065,2017-01-13,iService,Consumer Internet,Gadgets Repair & Service Booking platform,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",Seed Funding,"4,40,000",440000,Bengaluru
1066,2017-01-14,Unacademy,Consumer Internet,Online learning platform,"Nexus Venture Partners, Blume Ventures",Private Equity,"45,00,000",4500000,Bengaluru
1069,2017-01-16,ZoloStays,Consumer Internet,Branded PG Accomodation booking platform,"Nexus Venture Partners, Innoven Capital",Private Equity,"50,00,000",5000000,Bengaluru
1071,2017-01-16,HipCouch,Consumer Internet,Custom & Modular Furniture platform,Undisclosed Investors,Seed Funding,"7,00,000",700000,Mumbai
1072,2017-01-17,Curiositi,Consumer Internet,Online Learning Platform,"Menterra Social Impact Fund, Unitus Seed Fund",Private Equity,"8,00,000",800000,Bengaluru
1073,2017-01-17,TinyStep,Consumer Internet,Parenting Info & Social Network,Flipkart,Private Equity,"20,00,000",2000000,Bengaluru
1074,2017-01-17,Practo,Consumer Internet,Online Healthcare platform,"Tencent,\\xc2\\xa0 ru-Net, RSI Fund, Thrive Capital",Private Equity,"5,50,00,000",55000000,Bengaluru
1075,2017-01-17,Ketchupp,Consumer Internet,Food Discovery Platform,India Quotient and others,Seed Funding,"4,41,000",441000,New Delhi
1076,2017-01-17,Hoopy,Consumer Internet,Online Car Service Platform,undisclosed investors,Seed Funding,"5,00,000",500000,Gwalior
1077,2017-01-17,Ezytruk,Consumer Internet,Logistics and truck aggregator platform,"Ajith Nair, Anish K",Seed Funding,"1,47,000",147000,Bengaluru
1080,2017-01-18,Vahdam Teas,eCommerce,Online Tea etailer,"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network",Seed Funding,"6,50,000",650000,New Delhi
1081,2017-01-18,Qwikspec,Technology,Cloud-based construction,Undisclosed Investors,Seed Funding,"3,00,000",300000,Bengaluru
1083,2017-01-19,Weddingz.in,Consumer Internet,Online Marketplace for Wedding Venues and vendors,Singularity Ventures,Private Equity,"10,00,000",1000000,Mumbai
1090,2017-01-22,MessaGif,Consumer Internet,social messaging platform,Undisclosed investor,Seed Funding,"50,000",50000,New Delhi
1093,2017-01-23,CueMath,Technology,Maths Learning program,"CapitalG, Sequoia India",Private Equity,"1,50,00,000",15000000,New Delhi
1096,2017-01-24,Khel Now,Consumer Internet,Mobile-based Social Platform for Sports,Indochine International,Private Equity,"5,00,000",500000,Bengaluru
1097,2017-01-24,NowFloats,Consumer Internet,Platform to take businesses online,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",Private Equity,"1,00,00,000",10000000,Hyderabad
1098,2017-01-24,Lets Transport,Consumer Internet,Online transport vehicle booking platform,"GMO Japan, Neelesh Bhatnagar",Private Equity,"40,00,000",4000000,Bengaluru
1101,2017-01-25,RML Agtech,Technology,Agri Decision Support Solution for farmers,IvyCap Ventures,Private Equity,"40,00,000",4000000,Pune
1103,2017-01-25,InstaSafe,Technology,Security-as-a-Service solution provider,ABM Knowledgeware,Private Equity,"22,00,000",2200000,Bengaluru
1104,2017-01-25,Infibeam,eCommerce,eCommerce Marketplace,"Bennett, Coleman and Company Ltd",Private Equity,"88,00,000",8800000,Ahmedabad
1106,2017-01-26,AirMed Labs,Consumer Internet,Health Tests Booking platform & ePharmacy,Brand Capital,Private Equity,"14,00,000",1400000,Ahmedabad
1107,2017-01-26,99PerHour,Consumer Internet,Hyper-local Handyman Service provider,V Aanand R,Seed Funding,"3,00,000",300000,Chennai
1109,2017-01-30,Intuit Things,Technology,IoT solutions for home automation applications,Sanjay Mehta & Others ( The Ten Minute Million),Seed Funding,"1,06,000",106000,Mumbai
1110,2017-01-30,Cloudrino,Technology,Cloud based Virtual Servers,The Ten Minute Million,Seed Funding,"22,500",22500,New Delhi
1111,2017-01-30,FabX,eCommerce,Used Furniture Marketplace,The Ten Minute Million,Seed Funding,"68,000",68000,Mumbai
1112,2017-01-30,Maptags,Consumer Internet,Smart Online address tags,The Ten Minute Million,Seed Funding,"18,000",18000,Bengaluru
1114,2017-01-31,Heads Up For Tails,eCommerce,Online Pet Products Store,Undisclosed Investors,Private Equity,"20,00,000",2000000,New Delhi
1116,2016-12-01,SidQam,Technology,Healthcare Software System,"SQue Capital, Grace Capital Ventures, Soham Vencaps",Private Equity,"12,00,000",1200000,Noida
1117,2016-12-01,India Lends,Consumer Internet,Online Instant personal Loan provider,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",Private Equity,"40,00,000",4000000,New Delhi
1118,2016-12-01,Slide App,Consumer Internet,Lock screen Rewards mobile app,Songhyun Investment,Private Equity,"36,00,000",3600000,New Delhi
1119,2016-12-02,Badiyajobs,Consumer Internet,Entry-Level job Seekers platform,Undisclosed,Seed Funding,"1,00,000",100000,New Delhi
1121,2016-12-02,TYGR,Technology,Transport and logistics mobile App,Franchise India,Private Equity,"30,00,000",3000000,Mumbai
1123,2016-12-05,UrDoorStep,eCommerce,Online Grocery Store,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,"14,00,000",1400000,Bengaluru
1125,2016-12-06,Diro Labs,Consumer Internet,Mobile Contacts Management app,Info Edge (India),Seed Funding,"1,47,000",147000,New Delhi
1131,2016-12-07,Revv,Consumer Internet,Self-Driven Car Services booking portal,Edelweiss Private Equity,Private Equity,"90,00,000",9000000,New Delhi
1132,2016-12-07,WealthApp,Consumer Internet,Online Investment Advisory platform,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,\\xc2\\xa0 Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,"4,40,000",440000,Bengaluru
1134,2016-12-08,Zest Money,Consumer Internet,Online Consumer Lending platform,PayU,Private Equity,"65,00,000",6500000,Mumbai
1135,2016-12-08,GoMechanic,Consumer Internet,Online Car servicing Booking platform,Venture Catalysts,Seed Funding,"2,50,000",250000,Gurgaon
1136,2016-12-09,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,Kalaari Capital,Private Equity,"60,00,000",6000000,New Delhi
1138,2016-12-09,Wittyparot,Technology,Content Management & Productivity platform,Mumbai Angels,Seed Funding,"4,50,000",450000,Bengaluru
1139,2016-12-09,NeuroEquilibrium,Technology,Health-Tech platform,Unicorn India Ventures,Seed Funding,"2,50,000",250000,Jaipur
1140,2016-12-12,Xseed Education,Technology,Education & learning Tech platform,Verlinvest SA,Private Equity,"1,00,00,000",10000000,Bengaluru
1141,2016-12-12,Rupaiya Exchange,Consumer Internet,P2P Lending platform,Undisclosed Investors,Seed Funding,"2,00,000",200000,New Delhi
1142,2016-12-12,Doctor Insta,Consumer Internet,Online Doctor Consulting platform,RoundGlass Partners,Private Equity,"20,00,000",2000000,Gurgaon
1144,2016-12-12,Fresh Food Concepts,Food & Beverage,Cold Press Juice manufacturer & seller,"Siddhartha Gupta, Ashvin Chadha",Seed Funding,"20,00,000",2000000,New Delhi
1145,2016-12-13,Indifi,Consumer Internet,Online lending platform,Omidyar Network,Private Equity,"1,00,00,000",10000000,Gurgaon
1147,2016-12-13,OfBusiness,eCommerce,Online business-to-business (B2B) marketplace,"Zodius Technology Opportunities Fund, Matrix Partners",Private Equity,"1,11,00,000",11100000,Gurgaon
1149,2016-12-14,Qacco,Consumer Internet,Hotel Booking platform,"Lead Angels Network, Anbu Pandian, Prabhakar MR & Others",Seed Funding,"1,50,000",150000,Gurgaon
1150,2016-12-14,Fitpass,Consumer Internet,Fitness center aggregator & Booking mobile app,Mumbai Angels,Seed Funding,"10,00,000",1000000,New Delhi
1153,2016-12-14,Trading Bells,Consumer Internet,Online Share & Commodity Broking platform,Swastika Investmart Ltd,Seed Funding,"2,97,000",297000,Indore
1154,2016-12-15,SERV\\xe2\\x80\\x99D,Consumer Internet,Financial Services For Unorganized Workforce,Digital Financial Service Lab,Seed Funding,"1,00,000",100000,Pune
1155,2016-12-15,IdeaForge,Technology,Drone Manufacturing,"WRV Capital and IndusAge Partners, Infosys Innovation Fund",Private Equity,"1,00,00,000",10000000,Mumbai
1156,2016-12-15,Amagi Media Labs,Technology,Media Technology Solutions,"Emerald Media, Premji Invest",Private Equity,"3,50,00,000",35000000,Mumbai
1157,2016-12-15,Pocket Aces,Technology,Digital Entertainment Company,"Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon",Private Equity,"30,00,000",3000000,Mumbai
1158,2016-12-16,Pi Data Centers,Technology,Cloud Data Center Solutions provider,Epsilon Venture Partners,Private Equity,"2,30,00,000",23000000,Hyderabad
1159,2016-12-16,TripShelf,Consumer Internet,Holiday Packages provider,"GEMS Advisory, Quarizon",Seed Funding,"1,23,000",123000,New Delhi
1161,2016-12-19,NoBroker,Consumer Internet,Rental property search portal,"KTB Network, SAIF Partners, BEENEXT, Digital Garage",Private Equity,"74,00,000",7400000,Bengaluru
1162,2016-12-20,VivoCarat,eCommerce,Online jewellery marketplace,Undisclosed Investors,Seed Funding,"50,000",50000,Mumbai
1165,2016-12-20,BYJU\\xe2\\x80\\x99s,Consumer Internet,Online Learning platform,International Financial Corporation,Private Equity,"1,50,00,000",15000000,Bengaluru
1167,2016-12-21,The BlueBook,Consumer Internet,online to offline marketing platform,"Indian Angel Network, Let\\xe2\\x80\\x99s Venture",Seed Funding,"5,00,000",500000,Bengaluru
1169,2016-12-21,Vegetall,eCommerce,Online Vegetable eTailer,The Chennai Angels,Seed Funding,"1,62,000",162000,Chennai
1171,2016-12-22,Mindler,Consumer Internet,Career Planning & Assessment platform,Taxmann,Seed Funding,"3,24,000",324000,New Delhi
1172,2016-12-22,MCaffeine,eCommerce,Personal care product etailer,"Kaushal Agarwal, Harminder Sahani, KK Mehra, Pranay Jivrajka, Navjot Saini",Seed Funding,"3,00,000",300000,Bengaluru
1173,2016-12-23,enKast,Technology,Cloud based CRM for Agencies,Ivy League Alumni Angel Network,Private Equity,"20,00,000",2000000,Bengaluru
1180,2016-12-26,Dekkho,Consumer Internet,Video Streaming platform,undisclosed investors,Seed Funding,"12,00,000",1200000,Mumbai
1181,2016-12-26,Shadowfox,Logistics,On-Demand Delivery Service,Eight Roads Ventures,Private Equity,"1,00,00,000",10000000,Gurgaon
1182,2016-12-27,ShopX,eCommerce,SAAS ECommerce Retail app,Nandan Nilekani,Private Equity,"50,00,000",5000000,Bengaluru
1184,2016-12-29,Healthifyme,Consumer Internet,Fitness Mobile App,NB Ventures,Private Equity,"10,00,000",1000000,Bengaluru
1188,2016-11-01,PickMyLaundry,Consumer Internet,On-Demand Washing & Dry Cleaning Services,"Kedar Lele, GHV Accelerator",Seed Funding,"2,00,000",200000,New Delhi
1189,2016-11-02,FreshDesk,Consumer Internet,SAAS Based HelpDesk Services,"Sequoia Capital India, Accel Partners",Private Equity,"5,50,00,000",55000000,Chennai
1190,2016-11-02,LaundryAnna,Consumer Internet,On-Demand Washing & Dry Cleaning Services,Undisclosed Investors,Seed Funding,"1,50,000",150000,Bengaluru
1193,2016-11-03,Zarget,Technology,SaaS-based web optimisation and marketing platform,Sequoia India,Private Equity,"60,00,000",6000000,Chennai
1195,2016-11-03,EasyPolicy,Consumer Internet,Online insurance Portal,"Unilazer Ventures,",Private Equity,"1,00,00,000",10000000,Noida
1197,2016-11-04,Connect India,Logistics,Last mile Delivery Network,Aavishkaar Venture Management,Private Equity,"10,00,000",1000000,Bengaluru
1198,2016-11-04,Corseco,Technology,AI-based Software as a Service Solution provider,"Ameera Shah, Vivek Bhargava",Seed Funding,"1,50,000",150000,New Delhi
1201,2016-11-05,Medzin,eCommerce,Online ordering & Delivery of medicines,A M Sikander,Seed Funding,"45,000",45000,New Delhi
1202,2016-11-05,Bizongo,eCommerce,Packaging Material Marketplace,"IDG Ventures, Accel Partners",Private Equity,"30,00,000",3000000,Mumbai
1203,2016-11-07,Rivigo,Technology,Technology based Logistics platform,Warburg Pincus,Private Equity,"7,50,00,000",75000000,Gurgaon
1204,2016-11-07,JustRide,Consumer Internet,Online Car Sharing platform,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,"30,00,000",3000000,Mumbai
1205,2016-11-09,IIM Jobs,Consumer Internet,Online Job Portal,India Quotient,Private Equity,"20,00,000",2000000,New Delhi
1206,2016-11-09,Square Yards,Consumer Internet,Online Property Search Portal,ADAG Reliance Private Equity,Private Equity,"1,20,00,000",12000000,Gurgaon
1207,2016-11-10,GolfLAN,Consumer Internet,Golf Session Online Bookings platform,"YourNest Angel Fund, iSON",Private Equity,"10,00,000",1000000,New Delhi
1211,2016-11-14,Active.ai,Technology,Banking & Fintech Platform,"Kalaari Capital, IDG Ventures India",Private Equity,"30,00,000",3000000,Singapore
1212,2016-11-14,ElasticRun,Technology,Tech driven Logistic & distribution platform,"Kalaari Capital, Norwest Venture Partners",Private Equity,"20,00,000",2000000,Pune
1214,2016-11-15,Zefo,eCommerce,Used Furniture & Appliances Marketplace,"Sequoia India, BEENEXT, Helion Ventures",Private Equity,"60,00,000",6000000,Bengaluru
1215,2016-11-15,PlaySimple,Technology,Mobile Gaming portal,"SAIF Partners, IDG Ventures India",Private Equity,"40,00,000",4000000,Bengaluru
1216,2016-11-16,Stasis Labs,Technology,Cloud based\\xc2\\xa0 health monitoring platform,"RTP-HC, Wonder Ventures, Techstars Ventures & Others",Private Equity,"50,00,000",5000000,Bengaluru
1218,2016-11-17,Koovs,eCommerce,Fashion eTailer,Times of India Group & Existing investors,Private Equity,"1,35,00,000",13500000,New Delhi
1221,2016-11-17,Pictor Imaging,Consumer Internet,Product Photography Mobile App,Quarizon,Seed Funding,"1,47,000",147000,Mumbai
1222,2016-11-18,GramCover,Finance,Insurance Marketplace for the Rural Sector,Omnivore Capital,Seed Funding,"10,00,000",1000000,New Delhi
1225,2016-11-21,Bats on delivery,Consumer Internet,"Online food, Grocery ordering & Delivery",Devdeep Singh,Seed Funding,"90,000",90000,Gurgaon
1226,2016-11-21,numberz.in,Technology,Cash Flow Management Solution for Businesses,"Kae Capital, Khosla Impact",Seed Funding,"6,50,000",650000,Gurgaon
1227,2016-11-22,Housing.com,Consumer Internet,Real Estate Portal,Softbank Group,Private Equity,"50,00,000",5000000,Mumbai
1228,2016-11-22,Awesummly,Consumer Internet,Short News Mobile App,"Vivek Bhargava, Ameera Shah",Seed Funding,"1,47,000",147000,Bengaluru
1230,2016-11-22,Vymo,Technology,SaaS-based predictive analytics platform,Sequoia India,Private Equity,"50,00,000",5000000,Bengaluru
1232,2016-11-22,Noddapp,Consumer Internet,App based networking platform,Undisclosed multiple investors,Seed Funding,"1,47,000",147000,Mumbai
1233,2016-11-23,Knowlarity,Consumer Internet,Cloud Telephony Platform,"Delta Partners, Sequoia India,\\xc2\\xa0 Mayfield, Blacksoil, Trifecta Capital",Private Equity,"2,00,00,000",20000000,Bengaluru
1234,2016-11-23,Infisecure,Technology,Bot Protection Solutions,"IDG Ventures, Axilor Ventures",Seed Funding,"6,00,000",600000,Mumbai
1235,2016-11-23,Udaan,eCommerce,B2B Marketplace,"Lightspeed Venture Partners India, Lightspeed US",Private Equity,"1,00,00,000",10000000,Bengaluru
1238,2016-11-24,ShareChat,Consumer Internet,Local Language Social Networking Platform,"Lightspeed India Partners, SAIF Partners, India Quotient, Venture Highway",Private Equity,"40,00,000",4000000,Mumbai
1245,2016-11-28,Kloseby,Consumer Internet,proximity based\\xc2\\xa0 Rewards platform,Undisclosed Investor,Seed Funding,"1,00,000",100000,Bengaluru
