Sl_No,Date,Startup_Name,Industry,Sub_Industry,Investors,Investment_Type,Amount_in_USD,Amount,City
288,2018-04-09,Kaleidofin,Fiinance,Digital Financial Services Platform,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed / Angel Funding,"28,00,000",2800000,Chennai
289,2018-04-09,Pipabella,Consumer Internet,Fashion Accessories Etailer,Fireside Ventures,Seed / Angel Funding,"1,000,000,",1000000,Mumbai
293,2018-04-10,TravelTriangle,Consumer Internet,Online Travel Marketplace,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,"1,20,00,000",12000000,Gurgaon
294,2018-04-12,Letsmd,Healthcare,Platform To Discover Healthcare Financing Options,"SRI Capital, Waterbridge Ventures and ThinKuvate",Seed / Angel Funding,"10,00,000",1000000,New Delhi
295,2018-04-12,AyeFinance,Finance,Online Lending Platform,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Debt Funding,"46,000,00",4600000,Gurgaon
296,2018-04-13,mintifi,Finance,Online Lending Platform,Lok Capital,Seed / Angel Funding,"20,00,000",2000000,Mumbai
297,2018-04-16,icanstay,Consumer Internet,Online Platform For Luxury Hotel Stay For Business Travelers,Mr. Manoj Prasad,Seed / Angel Funding,"5,00,000",500000,New Delhi
299,2018-04-18,Coverfox,Consumer Internet,Online Insurance Aggregator,"International Finance Corporation, Transamerica and others.",Private Equity,"2,20,00,000",22000000,Mumbai
302,2018-04-19,Fyle Technologies,Technology,AI Based Expense Management Platform,Pravega Ventures and Beenext,Seed / Angel Funding,"11,000,00",1100000,Bengaluru
303,2018-04-19,True Balance,Technology,Mobile Balance Checking App,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank and TS Investment",Private Equity,"2,30,00,000",23000000,Gurgaon
305,2018-04-22,Doxper,Healthcare,Digitized Health-Tech Solutions For Practitioners,Vidal Healthcare,Seed / Angel Funding,"19,00,000",1900000,Mumbai
306,2018-04-22,Nykaa,Consumer Internet,Beauty e-tailer,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,"1,10,00,000",11000000,Mumbai
308,2018-04-23,Capital Float,Finance,Online Lending Platform,Amazon,Private Equity,"2,20,00,000",22000000,Bengaluru
309,2018-04-25,Trip shelf,Consumer Internet,Online Travel Marketplace,"GEMS Advisory, Alok Mittal and Sachin Bhatia",Seed / Angel Funding,"2,46,000",246000,New Delhi
310,2018-04-26,POPxo,Technology,Women Focussed Digital Media Platform,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media",Private Equity,"55,00,000",5500000,New Delhi
312,2018-04-27,1mg,Consumer Internet,Online Pharmacy Store,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",Private Equity,"1,00,00,000",10000000,Gurgaon
